PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageArea,PavedDrive,OurdoorSpace,MoSold,YrSold,YrMoSold,AgeSold,SaleCondition
909176150,856,126000,30,RL,7890,Reg,Lvl,Corner,SWISU,1Fam,1Story,6,6,1939,1950,None,0,TA,TA,CBlock,TA,TA,No,Rec,238,Unf,0,856,TA,Y,SBrkr,856,0,1,2,TA,1,Detchd,399,Y,166,3,2010,2010.25,60.25,Normal
905476230,1049,139500,120,RL,4235,Reg,Lvl,Inside,Edwards,TwnhsE,1Story,5,5,1984,1984,BrkFace,149,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552,ALQ,393,1049,TA,Y,SBrkr,1049,0,2,2,Gd,0,Attchd,266,Y,105,2,2009,2009.166667,25.16666667,Normal
911128020,1001,124900,30,C (all),6060,Reg,Lvl,Inside,IDOTRR,1Fam,1Story,5,9,1930,2007,None,0,Gd,TA,BrkTil,TA,TA,No,ALQ,737,Unf,0,837,Ex,Y,SBrkr,1001,0,1,2,Gd,0,Detchd,216,N,282,11,2007,2007.916667,0.916666667,Normal
535377150,1039,114000,70,RL,8146,Reg,Lvl,Corner,OldTown,1Fam,2Story,4,8,1900,2003,None,0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0,Unf,0,405,Gd,Y,SBrkr,717,322,1,2,TA,0,Detchd,281,N,279,5,2009,2009.416667,6.416666667,Normal
534177230,1665,227000,60,RL,8400,Reg,Lvl,Inside,NWAmes,1Fam,2Story,8,6,2001,2001,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,643,Unf,0,810,Ex,Y,SBrkr,810,855,2,3,Gd,0,Attchd,528,Y,45,11,2009,2009.916667,8.916666667,Normal
908128060,1922,198500,85,RL,7301,Reg,Lvl,Corner,Edwards,1Fam,SFoyer,7,5,2003,2003,BrkFace,500,Gd,TA,Slab,,,,,0,,0,0,Ex,Y,SBrkr,495,1427,3,4,Gd,1,BuiltIn,672,Y,177,7,2009,2009.583333,6.583333333,Normal
902135020,936,93000,20,RM,6000,Reg,Bnk,Inside,OldTown,2fmCon,1Story,4,4,1953,1953,None,0,Fa,TA,CBlock,Fa,TA,No,Unf,0,Unf,0,936,TA,N,SBrkr,936,0,1,2,TA,0,Detchd,576,Y,144,2,2009,2009.166667,56.16666667,Normal
528228540,1246,187687,20,RL,3710,Reg,Lvl,Inside,Blmngtn,1Fam,1Story,7,5,2007,2008,BrkFace,20,Gd,TA,PConc,Gd,TA,Gd,Unf,0,Unf,0,1146,Ex,Y,SBrkr,1246,0,2,2,Gd,1,Attchd,428,Y,124,3,2008,2008.25,0.25,Partial
923426010,889,137500,20,RL,12395,Reg,Lvl,Corner,Mitchel,1Fam,1Story,5,6,1984,1984,None,0,TA,TA,CBlock,TA,TA,No,ALQ,647,Unf,0,864,TA,Y,SBrkr,889,0,1,3,TA,0,Attchd,484,Y,0,4,2008,2008.333333,24.33333333,Normal
908186050,1072,140000,180,RM,3675,Reg,Lvl,Inside,Edwards,TwnhsE,SFoyer,6,5,2005,2005,Stone,76,TA,TA,PConc,Gd,TA,Gd,GLQ,467,Unf,0,547,Ex,Y,SBrkr,1072,0,1,2,Gd,0,Basment,525,Y,44,5,2007,2007.416667,2.416666667,Normal
528186170,1342,219500,120,RL,6240,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2007,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,24,Unf,0,1342,Ex,Y,SBrkr,1342,0,2,2,Gd,1,Attchd,550,Y,35,2,2008,2008.166667,1.166666667,Normal
923426070,1274,136000,60,RL,10475,Reg,Lvl,Inside,Mitchel,1Fam,2Story,5,5,1991,1991,None,0,TA,TA,PConc,Gd,TA,No,Rec,458,Unf,0,624,Gd,Y,SBrkr,624,650,1,3,TA,0,Detchd,576,Y,22,3,2010,2010.25,19.25,Normal
902204080,861,80000,30,RM,7404,Reg,Lvl,Corner,OldTown,1Fam,1Story,4,6,1920,1950,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,861,TA,Y,SBrkr,861,0,1,2,TA,0,Detchd,288,N,128,11,2009,2009.916667,59.91666667,Normal
