,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,price_sfgr,price_sf,perc_1stflr,house_footprint,house_ga_footprint,RoomSize,QualXSF,CondXSF,BsmtGLQSF,BsmtALQSF,BsmtBLQSF,BsmtRecSF,BsmtLwQSF,Bsmt_Y,OutdoorSpace,AgeSold
0,909176150,856,126000,30,RL,65.0,7890,Pave,Reg,Lvl,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,618.0,856.0,GasA,TA,Y,856,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,Unf,2.0,399.0,TA,TA,Y,3,2010,WD ,Normal,147.19626168224298,73.59813084112149,1.0,0.10849176172370088,0.1590621039290241,214.0,5136,5136,0.0,0.0,0.0,238.0,0.0,1,0,60
1,905476230,1049,139500,120,RL,42.0,4235,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,104.0,1049.0,GasA,TA,Y,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,Fin,1.0,266.0,TA,TA,Y,2,2009,WD ,Normal,132.98379408960915,66.49189704480457,1.0,0.24769775678866587,0.3105076741440378,209.8,5245,5245,552.0,393.0,0.0,0.0,0.0,1,105,25
2,911128020,1001,124900,30,C (all),60.0,6060,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,100.0,837.0,GasA,Ex,Y,1001,0,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,NA,Detchd,Unf,1.0,216.0,TA,Po,N,11,2007,WD ,Normal,124.77522477522477,67.95429815016323,1.0,0.16518151815181517,0.20082508250825082,200.2,5005,9009,0.0,737.0,0.0,0.0,0.0,1,282,0
3,535377150,1039,114000,70,RL,80.0,8146,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,405.0,405.0,GasA,Gd,Y,717,322,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,NA,Detchd,Unf,1.0,281.0,TA,TA,N,5,2009,WD ,Normal,109.720885466795,78.94736842105263,0.6900866217516843,0.08801865946476799,0.12251411735821262,173.16666666666666,4156,8312,0.0,0.0,0.0,0.0,0.0,1,168,6
4,534177230,1665,227000,60,RL,70.0,8400,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,167.0,810.0,GasA,Ex,Y,810,855,0,1.0,0.0,2,1,3,1,Gd,6,Typ,0,NA,Attchd,Fin,2.0,528.0,TA,TA,Y,11,2009,WD ,Normal,136.33633633633633,91.71717171717172,0.4864864864864865,0.09642857142857143,0.15928571428571428,277.5,13320,9990,643.0,0.0,0.0,0.0,0.0,1,45,8
5,908128060,1922,198500,85,RL,64.0,7301,Pave,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,NA,NA,NA,0.0,0.0,GasA,Ex,Y,495,1427,0,0.0,0.0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,RFn,2.0,672.0,TA,TA,Y,7,2009,ConLD,Normal,103.27783558792925,103.27783558792925,0.2575442247658689,0.0677989316531982,0.15984111765511574,274.57142857142856,13454,9610,0.0,0.0,0.0,0.0,0.0,0,177,6
6,902135020,936,93000,20,RM,60.0,6000,Pave,Reg,Bnk,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,936.0,936.0,GasA,TA,N,936,0,0,0.0,0.0,1,0,2,1,TA,4,Min2,0,NA,Detchd,Unf,2.0,576.0,TA,TA,Y,2,2009,WD ,Normal,99.35897435897436,49.67948717948718,1.0,0.156,0.252,234.0,3744,3744,0.0,0.0,0.0,0.0,0.0,1,144,56
7,528228540,1246,187687,20,RL,53.0,3710,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,1146.0,1146.0,GasA,Ex,Y,1246,0,0,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,Fin,2.0,428.0,TA,TA,Y,3,2008,New,Partial,150.63162118780096,78.46446488294315,1.0,0.33584905660377357,0.45121293800539086,249.2,8722,6230,0.0,0.0,0.0,0.0,0.0,1,124,0
8,923426010,889,137500,20,RL,74.0,12395,Pave,Reg,Lvl,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,217.0,864.0,GasA,TA,Y,889,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,NA,Attchd,Unf,2.0,484.0,TA,TA,Y,4,2008,WD ,Normal,154.6681664791901,78.43696520250998,1.0,0.07172246873739412,0.11077047196450182,148.16666666666666,4445,5334,0.0,647.0,0.0,0.0,0.0,1,0,24
9,908186050,1072,140000,180,RM,35.0,3675,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,80.0,547.0,GasA,Ex,Y,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,NA,Basment,Fin,2.0,525.0,TA,TA,Y,5,2007,WD ,Normal,130.59701492537314,86.47313156269303,1.0,0.2917006802721088,0.4345578231292517,214.4,6432,5360,467.0,0.0,0.0,0.0,0.0,1,44,2
