,GrLivArea,MSZoning,LotFrontage,LotArea,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SaleCondition,price_sfgr,price_sf,perc_1stflr,house_footprint,house_ga_footprint,RoomSize,QualXSF,CondXSF,BsmtGLQSF,BsmtALQSF,BsmtBLQSF,BsmtRecSF,BsmtLwQSF,Bsmt_Y,OutdoorSpace,AgeSold,gaudist_LincolnGrand,gaudist_GreekCircle,gaudist_OntarioND,gaudist_Stange13,gaudist_Grand13,gaudist_Grand24,gaudist_BloomStange,gaudist_IC3069
0,856,RL,65.0,7890,Corner,1Fam,1Story,6,6,None,0.0,TA,TA,CBlock,TA,TA,No,618.0,856.0,TA,856,0,0,1.0,0.0,1,0,2,1,TA,4,1,2.0,399.0,Normal,147.19626168224298,73.59813084112149,1.0,0.1084917617237008,0.1590621039290241,214.0,5136,5136,0.0,0.0,0.0,238.0,0.0,1,0,60,0.3010759900934367,0.9102763351687964,0.2300172027262275,0.49730350533836026,0.1777177352429528,0.062109537725821055,0.04095234696589315,0.03890219500828188
1,1049,RL,42.0,4235,Inside,TwnhsE,1Story,5,5,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,104.0,1049.0,TA,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,0,1.0,266.0,Normal,132.98379408960915,66.49189704480457,1.0,0.2476977567886658,0.3105076741440378,209.8,5245,5245,552.0,393.0,0.0,0.0,0.0,1,105,25,0.10216099160661885,0.5705355803808888,0.6349562131418779,0.5077177084764424,0.08517278785920616,0.041405209381865885,0.07730237852844352,0.004154056290364106
2,1001,C (all),60.0,6060,Inside,1Fam,1Story,5,9,None,0.0,Gd,TA,BrkTil,TA,TA,No,100.0,837.0,Ex,1001,0,0,0.0,0.0,1,0,2,1,Gd,5,0,1.0,216.0,Normal,124.77522477522476,67.95429815016323,1.0,0.1651815181518151,0.2008250825082508,200.2,5005,9009,0.0,737.0,0.0,0.0,0.0,1,282,0,0.9501766360374102,0.36339398341765955,0.0049720241211804895,0.21685616612230926,0.6659222341480237,0.2754212111851571,0.024921114472390617,0.18668107748370932
3,1039,RL,80.0,8146,Corner,1Fam,2Story,4,8,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,405.0,405.0,Gd,717,322,0,0.0,0.0,1,0,2,1,TA,6,0,1.0,281.0,Normal,109.720885466795,78.94736842105263,0.6900866217516843,0.0880186594647679,0.1225141173582126,173.16666666666666,4156,8312,0.0,0.0,0.0,0.0,0.0,1,168,6,0.5955076650162286,0.17577717472867269,0.00543043160940286,0.28341818995039386,0.9096302360515014,0.7945667240868172,0.13285865790135384,0.017150943952843993
4,1665,RL,70.0,8400,Inside,1Fam,2Story,8,6,None,0.0,Gd,TA,PConc,Gd,TA,No,167.0,810.0,Ex,810,855,0,1.0,0.0,2,1,3,1,Gd,6,0,2.0,528.0,Normal,136.33633633633633,91.71717171717172,0.4864864864864865,0.0964285714285714,0.1592857142857142,277.5,13320,9990,643.0,0.0,0.0,0.0,0.0,1,45,8,0.31065756417678564,0.244589837364034,0.06102128904870077,0.6804946500011768,0.6878816642332122,0.8563369786830385,0.6154217824185315,0.002255882160873357
5,1922,RL,64.0,7301,Corner,1Fam,SFoyer,7,5,BrkFace,500.0,Gd,TA,Slab,,,,0.0,0.0,Ex,495,1427,0,0.0,0.0,3,0,4,1,Gd,7,1,2.0,672.0,Normal,103.27783558792925,103.27783558792925,0.2575442247658689,0.0677989316531982,0.1598411176551157,274.57142857142856,13454,9610,0.0,0.0,0.0,0.0,0.0,0,177,6,0.04018562861751869,0.3684104017634612,0.5700049287705347,0.2359108138849584,0.025359172980759095,0.009429825930437927,0.021628163982840603,0.0027416805449836912
6,936,RM,60.0,6000,Inside,2fmCon,1Story,4,4,None,0.0,Fa,TA,CBlock,Fa,TA,No,936.0,936.0,TA,936,0,0,0.0,0.0,1,0,2,1,TA,4,0,2.0,576.0,Normal,99.35897435897436,49.67948717948718,1.0,0.156,0.252,234.0,3744,3744,0.0,0.0,0.0,0.0,0.0,1,144,56,0.8142297611933258,0.2666208544380617,0.005967348377348904,0.289636718201566,0.9125858285661487,0.592268171435563,0.07765966078348684,0.050274901712678705
7,1246,RL,53.0,3710,Inside,1Fam,1Story,7,5,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,1146.0,1146.0,Ex,1246,0,0,0.0,0.0,2,0,2,1,Gd,5,1,2.0,428.0,Partial,150.63162118780096,78.46446488294315,1.0,0.3358490566037735,0.4512129380053908,249.2,8722,6230,0.0,0.0,0.0,0.0,0.0,1,124,0,0.017664968645312005,0.01995917271219134,0.03660045932633308,0.18845956381553905,0.0985192204720272,0.2972312190020593,0.8955729933424603,9.95046202124785e-06
8,889,RL,74.0,12395,Corner,1Fam,1Story,5,6,None,0.0,TA,TA,CBlock,TA,TA,No,217.0,864.0,TA,889,0,0,0.0,0.0,1,0,3,1,TA,6,0,2.0,484.0,Normal,154.6681664791901,78.43696520250998,1.0,0.0717224687373941,0.1107704719645018,148.16666666666666,4445,5334,0.0,647.0,0.0,0.0,0.0,1,0,24,0.04412743413324428,0.014231975329538838,1.0021007557770764e-05,0.0008825375253788216,0.00544652414515753,0.00042612905602570656,4.45606733849175e-06,0.8567006752973513
9,1072,RM,35.0,3675,Inside,TwnhsE,SFoyer,6,5,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,80.0,547.0,Ex,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,0,2.0,525.0,Normal,130.59701492537314,86.47313156269303,1.0,0.2917006802721088,0.4345578231292517,214.4,6432,5360,467.0,0.0,0.0,0.0,0.0,1,44,2,0.04899328019134252,0.4110221171868749,0.5535382291931945,0.26121389540734996,0.03087453315931106,0.011467361241812916,0.023913133199334084,0.003481670612591473
