,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageArea,PavedDrive,OurdoorSpace,MoSold,YrSold,YrMoSold,AgeSold,SaleCondition,Longitude,Latitude,nghbr_Blueste,nghbr_BrDale,nghbr_BrkSide,nghbr_ClearCr,nghbr_CollgCr,nghbr_Crawfor,nghbr_Edwards,nghbr_Gilbert,nghbr_Greens,nghbr_GrnHill,nghbr_IDOTRR,nghbr_Landmrk,nghbr_MeadowV,nghbr_Mitchel,nghbr_NAmes,nghbr_NPkVill,nghbr_NWAmes,nghbr_NoRidge,nghbr_NridgHt,nghbr_OldTown,nghbr_SWISU,nghbr_Sawyer,nghbr_SawyerW,nghbr_Somerst,nghbr_StoneBr,nghbr_Timber,nghbr_Veenker
0,909176150,856,126000,30,RL,7890,Reg,Lvl,Corner,1Fam,1Story,6,6,1939,1950,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,856.0,TA,Y,SBrkr,856,0,1,2,TA,1,Detchd,399.0,Y,166,3,2010,2010.25,60.25,Normal,-93.619754,42.054035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,905476230,1049,139500,120,RL,4235,Reg,Lvl,Inside,TwnhsE,1Story,5,5,1984,1984,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,1049.0,TA,Y,SBrkr,1049,0,2,2,Gd,0,Attchd,266.0,Y,105,2,2009,2009.166667,25.16666667,Normal,-93.618462,42.053406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,911128020,1001,124900,30,C (all),6060,Reg,Lvl,Inside,1Fam,1Story,5,9,1930,2007,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,837.0,Ex,Y,SBrkr,1001,0,1,2,Gd,0,Detchd,216.0,N,282,11,2007,2007.916667,0.916666667,Normal,-93.618182,42.053327,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,535377150,1039,114000,70,RL,8146,Reg,Lvl,Corner,1Fam,2Story,4,8,1900,2003,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,Gd,Y,SBrkr,717,322,1,2,TA,0,Detchd,281.0,N,279,5,2009,2009.416667,6.416666667,Normal,-93.6188955,42.0530363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,534177230,1665,227000,60,RL,8400,Reg,Lvl,Inside,1Fam,2Story,8,6,2001,2001,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,810.0,Ex,Y,SBrkr,810,855,2,3,Gd,0,Attchd,528.0,Y,45,11,2009,2009.916667,8.916666667,Normal,-93.6192621,42.0531078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,908128060,1922,198500,85,RL,7301,Reg,Lvl,Corner,1Fam,SFoyer,7,5,2003,2003,BrkFace,500.0,Gd,TA,Slab,,,,,0.0,,0.0,0.0,Ex,Y,SBrkr,495,1427,3,4,Gd,1,BuiltIn,672.0,Y,177,7,2009,2009.583333,6.583333333,Normal,-93.619756,42.053014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,902135020,936,93000,20,RM,6000,Reg,Bnk,Inside,2fmCon,1Story,4,4,1953,1953,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,TA,N,SBrkr,936,0,1,2,TA,0,Detchd,576.0,Y,144,2,2009,2009.166667,56.16666667,Normal,-93.6193873,42.052659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,528228540,1246,187687,20,RL,3710,Reg,Lvl,Inside,1Fam,1Story,7,5,2007,2008,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,Ex,Y,SBrkr,1246,0,2,2,Gd,1,Attchd,428.0,Y,124,3,2008,2008.25,0.25,Partial,-93.6188286,42.0525525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,923426010,889,137500,20,RL,12395,Reg,Lvl,Corner,1Fam,1Story,5,6,1984,1984,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,864.0,TA,Y,SBrkr,889,0,1,3,TA,0,Attchd,484.0,Y,0,4,2008,2008.333333,24.33333333,Normal,-93.619562,42.05139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,908186050,1072,140000,180,RM,3675,Reg,Lvl,Inside,TwnhsE,SFoyer,6,5,2005,2005,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,547.0,Ex,Y,SBrkr,1072,0,1,2,Gd,0,Basment,525.0,Y,44,5,2007,2007.416667,2.416666667,Normal,-93.618504,42.051297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
