,SalePrice
0,126000
1,139500
2,124900
3,114000
4,227000
5,198500
6,93000
7,187687
8,137500
9,140000
10,219500
11,136000
12,80000
13,159000
14,214000
15,163000
16,203000
17,67000
18,205000
19,131250
20,181000
21,115000
22,98000
23,265979
24,105500
25,168165
26,201000
27,177500
28,200000
29,450000
30,91300
31,173500
32,199500
33,207000
34,155000
35,220000
36,196000
37,61500
38,195000
39,129250
40,291000
41,134000
42,186000
43,133500
44,148000
45,325300
46,215000
47,131000
48,109500
49,110000
50,150000
51,193800
52,178000
53,179600
54,179000
55,140000
56,395000
57,151500
58,341000
59,235000
60,72000
61,154000
62,222000
63,390000
64,128200
65,615000
66,158000
67,254000
68,169000
69,284500
70,184500
71,210400
72,214000
73,392500
74,274725
75,156932
76,282922
77,144000
78,88000
79,67500
80,148000
81,159000
82,120000
83,134900
84,185000
85,132500
86,160500
87,165000
88,100000
89,189900
90,227875
91,111900
92,145000
93,118000
94,166000
95,148000
96,99000
97,86000
98,165000
99,211500
100,210000
101,228500
102,132000
103,468000
104,240000
105,151500
106,73000
107,75500
108,500067
110,107500
111,172500
112,185000
113,311872
114,165150
115,125000
116,159500
117,180500
118,160000
119,109008
120,153000
121,132250
122,184900
123,127000
124,475000
125,142000
126,112000
127,80900
128,135000
129,193500
130,232500
131,114000
132,257000
133,117000
134,213000
135,212000
136,202500
137,185101
138,167000
139,138500
140,102000
141,198900
142,145000
143,220000
144,126000
145,200000
146,278000
147,145000
148,318000
149,146500
150,86900
151,213000
152,262000
153,217500
154,148000
155,113000
156,160500
157,145000
158,245500
159,133500
160,198000
161,205000
162,285000
163,175000
164,160000
165,272000
166,115000
167,134000
168,78000
169,111500
170,142900
171,125500
172,125500
173,423000
174,119900
175,247000
176,226500
177,260400
178,135000
179,175900
180,82500
181,79500
182,207500
183,115000
184,249700
185,164000
186,220000
187,135000
188,133700
189,112500
190,150000
191,99000
192,146300
193,155000
194,298751
195,256000
196,176000
197,120000
198,321000
199,190000
200,174900
201,85000
202,164990
