Neighborhood,Name,Loc
Blmngtn,Bloomington Heights,NO
Blueste,Bluestem,SW
BrDale,Briardale,NO
BrkSide,Brookside,DT
ClearCr,Clear Creek,NO
CollgCr,College Creek,SW
Crawfor,Crawford,SW
Edwards,Edwards,SW
Gilbert,Gilbert,NO
IDOTRR,Iowa DOT and Rail Road,DT
MeadowV,Meadow Village,SE
Mitchel,Mitchell,SE
NAmes,North Ames,NO
NoRidge,Northridge,NW
NPkVill,Northpark Villa,NO
NridgHt,Northridge Heights,NW
NWAmes,Northwest Ames,NO
OldTown,Old Town,DT
SWISU,South & West of ISU,SW
Sawyer,Sawyer,NW
SawyerW,Sawyer West,NW
Somerst,Somerset,NW
StoneBr,Stone Brook,NO
Timber,Timberland,SW
Veenker,Veenker,NW
Greens,Greensboro,NW
GrnHill,Greens Hills,SO
Landmrk,Landmark Villas,DT
